survived	survived(Logistic Regression)	status	age	sex
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
yes	yes	third	adult	female
yes	yes	third	adult	female
yes	yes	third	adult	female
yes	yes	third	adult	female
yes	yes	third	adult	female
yes	yes	third	adult	female
yes	yes	third	adult	female
yes	yes	third	adult	female
yes	yes	third	adult	female
no	yes	third	adult	female
no	yes	third	adult	female
no	yes	third	adult	female
no	yes	third	adult	female
no	yes	third	adult	female
no	yes	third	adult	female
no	yes	third	adult	female
no	yes	third	adult	female
no	yes	third	adult	female
no	yes	third	adult	female
no	yes	third	adult	female
no	yes	third	adult	female
yes	no	third	child	male
no	no	third	child	male
no	no	third	child	male
no	no	third	child	male
no	no	third	child	male
no	no	third	child	male
no	no	third	child	male
no	no	third	child	male
yes	yes	third	child	female
yes	yes	third	child	female
no	yes	third	child	female
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
yes	yes	crew	adult	female
yes	no	first	adult	male
yes	no	first	adult	male
yes	no	first	adult	male
yes	no	first	adult	male
yes	no	first	adult	male
no	no	first	adult	male
no	no	first	adult	male
no	no	first	adult	male
no	no	first	adult	male
no	no	first	adult	male
no	no	first	adult	male
no	no	first	adult	male
no	no	first	adult	male
no	no	first	adult	male
no	no	first	adult	male
no	no	first	adult	male
yes	yes	first	adult	female
yes	yes	first	adult	female
yes	yes	first	adult	female
yes	yes	first	adult	female
yes	yes	first	adult	female
yes	yes	first	adult	female
yes	yes	first	adult	female
yes	yes	first	adult	female
yes	yes	first	adult	female
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
yes	yes	second	adult	female
yes	yes	second	adult	female
yes	yes	second	adult	female
yes	yes	second	adult	female
yes	yes	second	adult	female
yes	yes	second	adult	female
yes	yes	second	adult	female
yes	yes	second	adult	female
yes	yes	second	adult	female
yes	yes	second	adult	female
no	yes	second	adult	female
yes	yes	second	child	female
yes	no	third	adult	male
yes	no	third	adult	male
yes	no	third	adult	male
yes	no	third	adult	male
yes	no	third	adult	male
yes	no	third	adult	male
yes	no	third	adult	male
yes	no	third	adult	male
yes	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
yes	yes	third	adult	female
yes	yes	third	adult	female
yes	yes	third	adult	female
yes	yes	third	adult	female
yes	yes	third	adult	female
yes	yes	third	adult	female
yes	yes	third	adult	female
yes	yes	third	adult	female
yes	yes	third	adult	female
no	yes	third	adult	female
no	yes	third	adult	female
no	yes	third	adult	female
no	yes	third	adult	female
no	yes	third	adult	female
no	yes	third	adult	female
no	yes	third	adult	female
no	yes	third	adult	female
no	yes	third	adult	female
yes	no	third	child	male
no	no	third	child	male
no	no	third	child	male
no	no	third	child	male
yes	yes	third	child	female
yes	yes	third	child	female
yes	yes	third	child	female
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
yes	yes	crew	adult	female
yes	yes	crew	adult	female
yes	yes	crew	adult	female
yes	no	first	adult	male
yes	no	first	adult	male
yes	no	first	adult	male
yes	no	first	adult	male
yes	no	first	adult	male
yes	no	first	adult	male
yes	no	first	adult	male
no	no	first	adult	male
no	no	first	adult	male
no	no	first	adult	male
no	no	first	adult	male
no	no	first	adult	male
no	no	first	adult	male
no	no	first	adult	male
no	no	first	adult	male
no	no	first	adult	male
no	no	first	adult	male
no	no	first	adult	male
no	no	first	adult	male
no	no	first	adult	male
no	no	first	adult	male
no	no	first	adult	male
yes	yes	first	adult	female
yes	yes	first	adult	female
yes	yes	first	adult	female
yes	yes	first	adult	female
yes	yes	first	adult	female
yes	yes	first	adult	female
yes	yes	first	adult	female
yes	yes	first	adult	female
yes	yes	first	adult	female
yes	yes	first	adult	female
yes	yes	first	adult	female
yes	yes	first	adult	female
yes	yes	first	adult	female
yes	yes	first	adult	female
yes	yes	first	adult	female
no	yes	first	adult	female
no	yes	first	adult	female
yes	no	second	adult	male
yes	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
yes	yes	second	adult	female
yes	yes	second	adult	female
yes	yes	second	adult	female
yes	yes	second	adult	female
no	yes	second	adult	female
no	yes	second	adult	female
yes	no	second	child	male
yes	yes	second	child	female
yes	no	third	adult	male
yes	no	third	adult	male
yes	no	third	adult	male
yes	no	third	adult	male
yes	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
yes	yes	third	adult	female
yes	yes	third	adult	female
yes	yes	third	adult	female
yes	yes	third	adult	female
yes	yes	third	adult	female
yes	yes	third	adult	female
yes	yes	third	adult	female
yes	yes	third	adult	female
no	yes	third	adult	female
no	yes	third	adult	female
no	yes	third	adult	female
no	yes	third	adult	female
no	yes	third	adult	female
no	yes	third	adult	female
no	yes	third	adult	female
no	yes	third	adult	female
yes	no	third	child	male
yes	no	third	child	male
yes	no	third	child	male
yes	no	third	child	male
no	no	third	child	male
no	no	third	child	male
no	no	third	child	male
no	no	third	child	male
no	no	third	child	male
no	no	third	child	male
no	yes	third	child	female
no	yes	third	child	female
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
yes	no	first	adult	male
yes	no	first	adult	male
yes	no	first	adult	male
yes	no	first	adult	male
yes	no	first	adult	male
no	no	first	adult	male
no	no	first	adult	male
no	no	first	adult	male
no	no	first	adult	male
no	no	first	adult	male
no	no	first	adult	male
no	no	first	adult	male
no	no	first	adult	male
no	no	first	adult	male
no	no	first	adult	male
no	no	first	adult	male
no	no	first	adult	male
no	no	first	adult	male
no	no	first	adult	male
no	no	first	adult	male
no	no	first	adult	male
yes	yes	first	adult	female
yes	yes	first	adult	female
yes	yes	first	adult	female
yes	yes	first	adult	female
yes	yes	first	adult	female
yes	yes	first	adult	female
yes	yes	first	adult	female
yes	yes	first	adult	female
yes	yes	first	adult	female
yes	yes	first	adult	female
yes	yes	first	adult	female
yes	yes	first	adult	female
yes	yes	first	child	male
yes	yes	first	child	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
yes	yes	second	adult	female
yes	yes	second	adult	female
yes	yes	second	adult	female
yes	yes	second	adult	female
yes	yes	second	adult	female
yes	yes	second	adult	female
yes	yes	second	adult	female
yes	yes	second	adult	female
yes	yes	second	adult	female
yes	yes	second	adult	female
no	yes	second	adult	female
yes	no	second	child	male
yes	no	second	child	male
yes	no	second	child	male
yes	yes	second	child	female
yes	yes	second	child	female
yes	no	third	adult	male
yes	no	third	adult	male
yes	no	third	adult	male
yes	no	third	adult	male
yes	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
yes	yes	third	adult	female
yes	yes	third	adult	female
yes	yes	third	adult	female
yes	yes	third	adult	female
yes	yes	third	adult	female
yes	yes	third	adult	female
yes	yes	third	adult	female
yes	yes	third	adult	female
yes	yes	third	adult	female
no	yes	third	adult	female
no	yes	third	adult	female
no	yes	third	adult	female
no	yes	third	adult	female
no	yes	third	adult	female
no	yes	third	adult	female
no	yes	third	adult	female
no	yes	third	adult	female
no	yes	third	adult	female
no	yes	third	adult	female
yes	no	third	child	male
no	no	third	child	male
yes	yes	third	child	female
yes	yes	third	child	female
yes	yes	third	child	female
no	yes	third	child	female
no	yes	third	child	female
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
yes	yes	crew	adult	female
yes	no	first	adult	male
yes	no	first	adult	male
yes	no	first	adult	male
yes	no	first	adult	male
yes	no	first	adult	male
no	no	first	adult	male
no	no	first	adult	male
no	no	first	adult	male
no	no	first	adult	male
no	no	first	adult	male
no	no	first	adult	male
no	no	first	adult	male
no	no	first	adult	male
yes	yes	first	adult	female
yes	yes	first	adult	female
yes	yes	first	adult	female
yes	yes	first	adult	female
yes	yes	first	adult	female
yes	yes	first	adult	female
yes	yes	first	adult	female
yes	yes	first	adult	female
yes	yes	first	adult	female
yes	yes	first	adult	female
yes	yes	first	adult	female
yes	yes	first	adult	female
yes	yes	first	child	male
yes	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
no	no	second	adult	male
yes	yes	second	adult	female
yes	yes	second	adult	female
yes	yes	second	adult	female
yes	yes	second	adult	female
no	yes	second	adult	female
yes	no	second	child	male
yes	no	second	child	male
yes	yes	second	child	female
yes	no	third	adult	male
yes	no	third	adult	male
yes	no	third	adult	male
yes	no	third	adult	male
yes	no	third	adult	male
yes	no	third	adult	male
yes	no	third	adult	male
yes	no	third	adult	male
yes	no	third	adult	male
yes	no	third	adult	male
yes	no	third	adult	male
yes	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
no	no	third	adult	male
yes	yes	third	adult	female
yes	yes	third	adult	female
yes	yes	third	adult	female
yes	yes	third	adult	female
yes	yes	third	adult	female
yes	yes	third	adult	female
yes	yes	third	adult	female
yes	yes	third	adult	female
yes	yes	third	adult	female
yes	yes	third	adult	female
no	yes	third	adult	female
no	yes	third	adult	female
no	yes	third	adult	female
no	yes	third	adult	female
no	yes	third	adult	female
no	yes	third	adult	female
no	yes	third	adult	female
no	yes	third	adult	female
no	yes	third	adult	female
no	no	third	child	male
yes	yes	third	child	female
yes	yes	third	child	female
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
yes	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
no	no	crew	adult	male
yes	yes	crew	adult	female
yes	yes	crew	adult	female
yes	yes	crew	adult	female
no	yes	crew	adult	female
